frameNumber	unityTimeAtLog	cameraPos_x	cameraPos_y	cameraPos_z	cameraMat_R0C0	cameraMat_R0C1	cameraMat_R0C2	cameraMat_R0C3	cameraMat_R1C0	cameraMat_R1C1	cameraMat_R1C2	cameraMat_R1C3	cameraMat_R2C0	cameraMat_R2C1	cameraMat_R2C2	cameraMat_R2C3	cameraMat_R3C0	cameraMat_R3C1	cameraMat_R3C2	cameraMat_R3C3	yTargetPos_x	yTargetPos_y	yTargetPos_z	rTargetPos_x	rTargetPos_y	rTargetPos_z	bTargetPos_x	bTargetPos_y	bTargetPos_z	wTargetPos_x	wTargetPos_y	wTargetPos_z	confidence	gaze_timestamp	unityTimeAtEyeImageCapture	gaze_normal2_x	gaze_normal2_y	gaze_normal2_z	gaze_normal0_x	gaze_normal0_y	gaze_normal0_z	gaze_normal1_x	gaze_normal1_y	gaze_normal1_z	gaze_point_3d_x	gaze_point_3d_y	gaze_point_3d_z	eye_center0_3d_x	eye_center0_3d_y	eye_center0_3d_z	eye_center1_3d_x	eye_center1_3d_y	eye_center1_3d_z	mode
6970	80.03352	0.607193	1.021055	-0.7938716	0.9851522	0.02285098	-0.1701557	0.607193	-0.004118343	0.9939629	0.1096397	1.021055	0.1716339	-0.1073111	0.9792988	-0.7938716	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.378294	1.204067	7	1	-752923.622262	79.9650532224914	0.2093861	-0.1887628	0.9594405	0.2056324	-0.1847732	0.9610277	0.2131025	-0.1927022	0.9578378	1.598446	-1.441008	7.324335	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6973	80.0667	0.6071955	1.021075	-0.7939972	0.9850221	0.02238059	-0.1709696	0.6071955	-0.00337118	0.9938508	0.1106763	1.021075	0.1723952	-0.1084423	0.9790404	-0.7939972	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.335825	1.158836	7	0.9801912	-752923.618252	79.9690632224083	0.2125148	-0.1862217	0.9592491	0.2119116	-0.1797234	0.9606211	0.2131025	-0.1927022	0.9578378	7.473831	-6.549144	33.73538	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6973	80.06677	0.6071955	1.021075	-0.7939972	0.9850221	0.02238059	-0.1709696	0.6071955	-0.00337118	0.9938508	0.1106763	1.021075	0.1723952	-0.1084423	0.9790404	-0.7939972	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.335825	1.158836	7	0.9801912	-752923.6142375	79.9730777224759	0.2108615	-0.1851818	0.9598151	0.2119116	-0.1797234	0.9606211	0.2098105	-0.1906439	0.9589757	7.419816	-6.516194	33.77407	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6973	80.06691	0.6071955	1.021075	-0.7939972	0.9850221	0.02238059	-0.1709696	0.6071955	-0.00337118	0.9938508	0.1106763	1.021075	0.1723952	-0.1084423	0.9790404	-0.7939972	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.335825	1.158836	7	0.953504	-752923.6102165	79.9770987224765	0.2113629	-0.1860635	0.9595343	0.2129195	-0.1814944	0.9600651	0.2098105	-0.1906439	0.9589757	4.541783	-3.998147	20.61855	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6973	80.06696	0.6071955	1.021075	-0.7939972	0.9850221	0.02238059	-0.1709696	0.6071955	-0.00337118	0.9938508	0.1106763	1.021075	0.1723952	-0.1084423	0.9790404	-0.7939972	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.335825	1.158836	7	0.9295144	-752923.604241	79.9830742224585	0.2118134	-0.1843885	0.9597582	0.2129195	-0.1814944	0.9600651	0.210712	-0.1872922	0.9594384	6.320029	-5.501732	28.63699	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6973	80.06699	0.6071955	1.021075	-0.7939972	0.9850221	0.02238059	-0.1709696	0.6071955	-0.00337118	0.9938508	0.1106763	1.021075	0.1723952	-0.1084423	0.9790404	-0.7939972	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.335825	1.158836	7	0.8764516	-752923.6002665	79.9870487224543	0.2112219	-0.1870812	0.9593675	0.2117351	-0.1868759	0.9592944	0.210712	-0.1872922	0.9594384	12.43982	-11.01807	56.50154	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6973	80.06703	0.6071955	1.021075	-0.7939972	0.9850221	0.02238059	-0.1709696	0.6071955	-0.00337118	0.9938508	0.1106763	1.021075	0.1723952	-0.1084423	0.9790404	-0.7939972	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.335825	1.158836	7	0.8995899	-752923.5962375	79.9910777225159	0.2100024	-0.1838191	0.9602654	0.2117351	-0.1868759	0.9592944	0.208279	-0.1807809	0.961217	3.380102	-2.958667	15.45599	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6973	80.06707	0.6071955	1.021075	-0.7939972	0.9850221	0.02238059	-0.1709696	0.6071955	-0.00337118	0.9938508	0.1106763	1.021075	0.1723952	-0.1084423	0.9790404	-0.7939972	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.335825	1.158836	7	0.9991487	-752923.5922485	79.9950667223893	0.1586544	-0.1943452	0.9680179	0.1079283	-0.2068221	0.9724073	0.208279	-0.1807809	0.961217	0.09607559	-0.1176888	0.5861982	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6973	80.0671	0.6071955	1.021075	-0.7939972	0.9850221	0.02238059	-0.1709696	0.6071955	-0.00337118	0.9938508	0.1106763	1.021075	0.1723952	-0.1084423	0.9790404	-0.7939972	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.335825	1.158836	7	0.9476115	-752923.58828	79.9990352224559	0.1566673	-0.192895	0.9686314	0.1079283	-0.2068221	0.9724073	0.2043825	-0.1779369	0.9625831	0.09890835	-0.1217799	0.6115236	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
6973	80.06714	0.6071955	1.021075	-0.7939972	0.9850221	0.02238059	-0.1709696	0.6071955	-0.00337118	0.9938508	0.1106763	1.021075	0.1723952	-0.1084423	0.9790404	-0.7939972	0	0	0	1	-2	1.5	6	0	1.5	6	2	1.5	6	1.335825	1.158836	7	0.9476115	-752923.5842755	80.0030397225637	0.1475228	-0.1853851	0.9715294	0.08940721	-0.1915511	0.9774019	0.2043825	-0.1779369	0.9625831	0.07770187	-0.09764431	0.5117151	0.03052749	-0.0007636304	-0.003101654	-0.03025539	0.0003675438	0.003289033	binocular
